Type,Zreal-1,Zimag-1,Zreal-2,Zimag-2,Zreal-3,Zimag-3,Zreal-4,Zimag-4,Zreal-5,Zimag-5,Zreal-6,Zimag-6,Zreal-7,Zimag-7,Zreal-8,Zimag-8,Zreal-9,Zimag-9,Zreal-10,Zimag-10,Zreal-11,Zimag-11,Zreal-12,Zimag-12,Zreal-13,Zimag-13,Zreal-14,Zimag-14,Zreal-15,Zimag-15,Zreal-16,Zimag-16,Zreal-17,Zimag-17,Zreal-18,Zimag-18,Zreal-19,Zimag-19,Zreal-20,Zimag-20
0,20.6,69,37.13,107.82,74.46,142.32,82.73,159.57,120.09,185.44,169.27,219.59,245.13,255.18,321.8,282.33,379.34,290.62,480.08,284.2,518.45,284.82,576.03,279.22,633.63,264.71,710.44,239.22,787.26,210.82,863.62,174.54,940.92,145.73,1017.63,156.71,1084.63,216.14,1118.07,270.17
0,30.42,47.89,96.69,156.09,173.19,251.24,266.49,339.55,362.21,420.14,458.02,467.9,553.9,488.3,649.77,511.68,745.68,521.13,841.62,519.14,937.6,497.25,1033.62,463.42,1127.27,420.39,1216.23,334.57,1298.01,240.87,1379.79,149.5,1475.82,113.68,1571.58,180.35,1667.28,267.91,1743.76,369.4
0,15.9,3.66,22.98,15.08,38.02,25.57,49.27,33.1,66.77,42.21,98.96,51.94,154.97,61.87,209.28,60.72,244.22,54.53,272.92,47.66,293.25,40.59,316.89,33.14,340,27.07,360.48,19.69,386.24,16.71,420.62,19.23,434.27,27.67,445.51,33.85,459.8,41.75,477.46,51.57
0,12.42,3.66,17.71,9.98,25.68,14.83,31.54,14.76,43.42,21.64,62.42,189.91,75.98,26.84,94.28,27.77,110.61,26.28,126.96,25.05,140.77,21.43,154.75,13.51,164.09,8.55,184.85,6.91,207.86,7.52,217.14,14.83,224.87,16.02,232.89,19.79,239.63,29.34,249.28,36.13
0,17.04,1.3,24.52,3.81,32,6.95,36.27,7.79,42.68,10.51,51.87,9.99,57.08,12.19,66.31,8.85,71.44,9.83,76.23,10.11,80.97,4.15,87.36,4.26,92.13,1.12,96.94,3.42,101.76,6.46,106.95,5.73,114.91,12.05,119.4,13.05,122.63,17.03,127.38,12.64
0,100.73,204.32,152.13,254.28,208.87,326.46,291.79,403.79,409.45,479.4,495.19,498,570.37,550.29,648.41,544.04,807.46,556.48,910.38,540.82,1048.48,447.97,1136.58,487.65,1246.45,410.64,1330.5,395.56,1459,347.65,1548.99,351.96,1653.51,423.12,1790.22,585.37,1882.04,748.46,1973.81,1009.8
0,24.76,69,45.5,86.25,70.45,86.25,99.5,107.82,124.4,125.07,157.69,116.44,186.7,155.26,211.64,155.26,236.57,163.88,265.65,172.51,278.12,176.82,311.35,189.76,336.29,189.76,386.89,154.64,430.11,133.91,487.78,90.8,545.4,66.75,602.91,86.65,660.38,120.65,717.82,165.42
0,8.27,12.94,28.95,56.06,45.59,51.75,120.76,123.13,197.41,160.45,274.1,179.1,350.84,182.21,427.64,162.31,504.47,128.11,581.26,112.56,648.2,194.03,698.33,283.16,744.14,374.87,784.22,457.08,823.57,542.28,860.5,635.56,898.63,726.97,936.77,819.63,974.89,916.65,1013.01,1013.66
0,26.94,72.35,146.48,184.89,198.01,257.95,332.39,348.73,432.84,393.25,519.67,411.19,657.94,429.25,831.42,391.77,927.3,368.07,1017.27,302.81,1135.6,210.99,1200.35,120.2,1254.36,156.16,1282.89,279.62,1317.71,370.56,1334.34,625.35,1374.45,751.83,1402.2,1083.54,1423.06,1388.73,1440.69,1619.01
0,84.64,109.68,187.1,205.55,261.84,254.81,365.49,296.41,479.12,350.2,636.57,380.24,745.03,387.33,849.55,366.16,928.51,366.49,1043.09,341.62,1146.27,326.34,1249.41,306.32,1338.59,316.09,1426.38,423.02,1454.98,495.75,1511,774.33,1540.52,1017.48,1563.66,1281.56,1596.32,1507.87,1620.59,1829.24
0,61.41,76.73,149.84,135.01,239.36,189.11,299.79,216.5,395.4,206.34,506.42,219.12,594.29,204,701.38,198.17,790.36,193.49,873.89,239.06,945.01,292.14,1007.01,503.04,1037.53,550.07,1063.29,760.52,1089.18,934.46,1105.69,1029.51,1122.84,1202.72,1141.59,1252.03,1163.14,1641.33,1185.03,1753.63
0,57.51,67.29,138.36,128.09,219.01,165.18,299.66,192.72,376.34,220.46,410.97,243.8,483.48,243.58,568.96,230.53,636.42,225.44,692.33,215.96,745.88,228.4,824.04,237.66,923.63,238.55,993.47,356.34,1031.04,421.26,1084.39,535.71,1130.14,606.19,1184.18,804.73,1229.24,1078.69,1290.26,1488.28
0,6.27,3.38,34.46,42.33,74.2,95.66,121.22,136.21,162.82,159.8,200.51,173.63,237.91,188.11,286.27,190.18,355.41,185.66,418.19,175.64,483,141.91,531.03,109.27,582.47,71.11,645.03,107.53,696.56,166.44,732.16,221.16,773.36,288.36,820.45,379.05,879.02,498.19,946.01,655.72
0,21.28,12.4,23.21,12.4,32.88,22.74,44.12,38.82,57.85,28.89,78.31,24.31,97.09,28.05,113.03,9.75,129.22,51.9,144.18,47.97,163.8,84.66,183.42,103.54,203.04,101.86,218.73,130.79,238.35,129.53,256.01,139.7,285,163.06,312.9,185.31,337.43,204.18,357.05,218.86
0,14.16,3.2,15.97,11.42,30.08,30.92,47.73,52.99,75.8,71.26,105.67,97.3,161.72,123.35,228.42,148.2,299.67,165.79,373.23,177.31,467.47,182.83,566.87,180.58,657.46,168.29,764.46,149.42,833.81,132.32,940.6,102.18,1019.33,84.68,1090.47,77.07,1158.5,81.39,1224.2,103.37
0,57.14,126.45,238.8,107.08,342.86,378.97,461.96,326.25,623.56,512.32,842.86,377.84,1020.33,279.33,1142.86,268.66,1328.57,141.66,1428.57,123.35,1528.57,159.29,1671.43,267.47,1839.13,347.37,2014.29,375.19,2114.29,411.13,2285.71,446.91,2414.29,518.96,2571.43,518.6,2742.86,554.38,2842.86,608.4
0,128.57,144.37,242.86,306.87,356.63,335.87,530.8,323.92,648.29,283.56,785.71,251.39,957.14,232.92,1114.29,160.23,1232.42,229.41,1352.18,130.95,1544.07,211.18,1753.07,384.9,1929.3,563.4,2097.03,578.39,2274.55,608.71,2458.34,612.43,2605.02,644.06,2685.71,807.67,2837.62,777.33,2996.99,833.42
0,45.89,233.77,550.67,992.77,795.41,1284.57,988.21,1476.22,1376.67,1634.04,1636.71,1730.87,1964.42,1683.71,2389.31,1741.05,3015.84,1444.21,3480.16,1136.08,3799,675.39,4052.85,479.62,4276.1,228.06,4787.4,218.75,5154.88,162.84,5435.54,250.26,6011.66,637.39,6341.9,826.11,6688.6,954.78,7163.9,1078.93
0,4.41,0.99,12.15,11.52,18.92,16.86,26.6,26.47,32.71,32.05,43.22,39.02,54.71,45.07,70.31,49.86,89.92,53.64,111.07,52.87,128.1,49.44,144.03,44.61,158.05,35.59,169.31,27.67,179.37,18.5,185.71,15.03,194.99,8.46,203.82,12.68,209.55,17.35,216.09,24.92
0,5.22,2.05,9.14,8.43,11.76,14.47,14.33,12.12,19.54,17.5,24.76,25.56,29.86,26.96,39.75,34.02,53.36,39.5,68.49,42.75,83.38,42.56,97.57,39.57,108.87,35.61,116.71,33.18,122.08,28.87,128.54,25.72,136.26,18.88,142.17,12.06,145.01,10.08,151.37,7.58
0,7.79,0.37,13.42,4.67,17.59,9.13,21.77,13.46,26.83,17.7,32.11,21.4,37.6,22.62,44.46,26.44,56.31,32.22,70.84,35.12,85.2,35.14,94.44,34.07,106.83,30.08,117.41,27.22,123.22,22.68,132.65,15.24,141.88,6.95,153.05,11.35,160.59,16.57,168.67,24.43
0,7.16,2.05,13.03,10.11,18.27,20.85,25.21,28.7,37.4,38.68,48.85,46.92,63.19,54.21,75.28,58.33,94.66,63.63,115.73,65.46,136.59,63.91,153.47,58.68,169.49,51.47,185.52,43.55,195.46,35.86,199.9,29.01,206.24,26.21,217.61,14.05,229.89,11.72,240.57,22.32
0,7.17,4.06,9.81,13.12,16.62,21.78,24.43,29.04,31.99,36.8,39.42,44.46,48.76,49.48,64.31,58.2,77.76,64.01,102.77,68.99,125.57,68.66,143.94,65.2,163.19,58.31,175.76,51.96,192.88,38.67,202.91,31.39,210.11,23.26,217.35,12.35,232.24,14.38,241.95,20.41
0,51.24,202.38,142.86,307.09,242.86,451.53,395.59,809.16,469.65,654.97,557.14,902.9,672.61,1140.93,757.14,1209.86,890.48,1555.02,977.05,1525.91,1111.23,1704.89,1193.47,1723.27,1257.14,1715.06,1412.98,1690.82,1525.32,2017.02,1655.17,2009.88,1842.74,2300.15,1942.86,2310.26,2085.71,2418.43,2304.44,2516.75
0,8.27,8.55,19.54,25.59,30.12,22.25,40.72,39.29,51.22,44.46,72.36,49.52,87.08,39.39,111.17,40.41,127.06,33.68,148.44,27.68,166.82,19.9,185.25,20,207.01,21.99,219.79,36.97,232.55,53.9,243.74,69.36,255.25,90.52,272.87,115.5,285.05,153.41,298.42,175.11
0,9.82,10.06,28.66,20.3,48.29,43.3,67.66,48.56,87.05,50.95,114.66,53.73,127.61,45.94,137.89,47.68,166.36,59.24,179.9,50.04,199.47,50.82,217.2,56.21,233.99,41.99,252.28,40.23,267.49,39.16,290.2,30.34,316.5,45.36,337.12,57.38,355.85,70.8,374.59,93.02
0,15.21,0.19,15.68,0.24,16.24,0.64,16.71,1.06,17.51,1.45,18.16,1.63,18.8,1.82,19.54,2.31,21.22,2.66,22.49,2.61,23.74,2.9,24.39,3.46,24.75,3.49,25.15,3.89,25.82,4.69,26.41,5.26,26.93,5.79,27.7,6.41,28.63,7.16,29.56,7.92
